ID,Дата обращения,Категория,Подкатегория,Регион,Возраст заявителя,Пол,Статус,Дата ответа,Кол-во детей,Возраст старшего ребенка,Ответственный орган,Тип заявителя,Способ подачи,Язык обращения,Повторное обращение,Канал получения ответа,Категория срочности,Вид обращения,Тематика
1,2024-10-28,ЖКХ,Отопление,г. Астана,69,Ж,Рассмотрено,2024-11-12,3,18.0,Акимат города,Физическое лицо,Мобильное приложение,Русский,Да,Бумажное письмо,Низкая,Жалоба,Земельный вопрос
2,2023-09-14,Труд и занятость,Трудовые споры,г. Астана,41,М,В работе,2023-10-03,1,23.0,Акимат города,Физическое лицо,Почта,Казахский,Да,Портал,Высокая,Благодарность,Образование
3,2023-07-09,Здравоохранение,Скорая помощь,г. Алматы,47,М,В работе,2023-07-18,0,,МОН РК,Физическое лицо,Лично,Казахский,Нет,Email,Высокая,Благодарность,Электроснабжение
4,2025-01-15,Социальная защита,Многодетные семьи,Туркестанская,81,Ж,Рассмотрено,2025-02-03,3,24.0,МОН РК,Физическое лицо,Веб-сайт,Русский,Нет,Email,Низкая,Жалоба,Социальные пособия
5,2024-01-19,ЖКХ,Водоснабжение,Акмолинская,66,Ж,Отклонено,2024-02-07,1,15.0,ЦОН,Физическое лицо,Лично,Русский,Да,Портал,Низкая,Благодарность,Социальные пособия
6,2023-12-27,Здравоохранение,Медикаменты,Актюбинская,32,М,Рассмотрено,2024-01-29,2,22.0,МОН РК,Физическое лицо,Лично,Казахский,Нет,Email,Низкая,Вопрос,Медицина
7,2023-12-10,ЖКХ,Водоснабжение,Акмолинская,81,Ж,Рассмотрено,2024-01-12,3,17.0,Министерство труда,Физическое лицо,Лично,Казахский,Нет,Телефон,Низкая,Предложение,Электроснабжение
8,2023-10-06,Социальная защита,Пенсии,Акмолинская,21,М,В работе,2023-11-11,2,20.0,Министерство здравоохранения,Физическое лицо,Почта,Казахский,Нет,Телефон,Высокая,Жалоба,Земельный вопрос
9,2025-01-12,ЖКХ,Водоснабжение,г. Алматы,19,Ж,В работе,2025-02-15,2,7.0,ЦОН,Физическое лицо,Почта,Русский,Нет,Портал,Высокая,Жалоба,Образование
10,2023-09-07,Здравоохранение,Доступ к поликлинике,Актюбинская,64,М,На рассмотрении,2023-09-24,0,,ЦОН,Юридическое лицо,Почта,Русский,Да,Телефон,Средняя,Предложение,Земельный вопрос
