ID,Дата записи,Время записи,Услуга,Учреждение,Регион,Статус,Возраст ученика,Пол ученика,Канал записи,Дата визита,Явился,Причина отмены,Тип учреждения
1,2025-02-22,03:34,Зачисление в 1 класс,Школа-лицей №1,Актюбинская,Записан,9,М,Веб,,Нет,,Гимназия
2,2024-06-28,08:06,Запись в продлёнку,Школа-лицей №1,г. Астана,Записан,9,М,Мобильное приложение,,Да,,Школа
3,2024-10-03,19:40,Запись в продлёнку,Школа-лицей №10,Карагандинская,Обслужен,6,М,Через школу,2024-10-03,Да,,Школа-лицей
4,2024-09-13,05:36,Запрос справки,Школа-лицей №3,г. Алматы,Обслужен,11,М,Веб,2024-09-13,Да,,Школа-лицей
5,2025-04-01,12:45,Зачисление в 1 класс,Школа-лицей №6,Карагандинская,Обслужен,6,Ж,Веб,2025-04-01,Да,,Школа-лицей
6,2025-03-08,09:31,Зачисление в 1 класс,Школа-лицей №9,Карагандинская,Обслужен,15,Ж,Мобильное приложение,2025-03-08,Да,,Гимназия
7,2025-05-31,03:48,Зачисление в 1 класс,Школа-лицей №1,Актюбинская,Записан,10,М,Мобильное приложение,,Нет,,Школа-лицей
8,2024-07-22,18:30,Запрос справки,Школа-лицей №8,Актюбинская,Обслужен,8,Ж,КИОСК,2024-07-22,Да,,Школа
9,2024-11-29,23:06,Запрос справки,Школа-лицей №2,Алматинская,Обслужен,14,М,Мобильное приложение,2024-11-29,Да,,Школа-лицей
10,2024-06-30,19:23,Запись в продлёнку,Школа-лицей №5,Актюбинская,Обслужен,9,Ж,Веб,2024-06-30,Да,,Школа
11,2024-09-11,19:37,Зачисление в 1 класс,Школа-лицей №6,Туркестанская,Записан,9,Ж,Мобильное приложение,,Да,,Школа-лицей
12,2025-01-01,06:09,Запись в продлёнку,Школа-лицей №3,Карагандинская,Записан,17,Ж,Через школу,,Да,,Школа-лицей
13,2024-06-29,19:43,Перевод из другой школы,Школа-лицей №3,Алматинская,Отменено,6,М,Мобильное приложение,,Нет,Отменено учреждением,Гимназия
14,2024-09-04,18:20,Зачисление в 1 класс,Школа-лицей №7,Туркестанская,Обслужен,13,Ж,Веб,2024-09-04,Да,,Гимназия
15,2025-02-26,12:38,Зачисление в 1 класс,Школа-лицей №9,Карагандинская,Обслужен,11,М,КИОСК,2025-02-26,Да,,Школа-лицей
16,2025-01-16,05:19,Перевод из другой школы,Школа-лицей №8,г. Астана,Обслужен,17,Ж,Мобильное приложение,2025-01-16,Да,,Гимназия
17,2024-09-12,03:37,Зачисление в 1 класс,Школа-лицей №5,Актюбинская,Обслужен,9,М,КИОСК,2024-09-12,Да,,Школа
18,2025-02-02,11:13,Зачисление в 1 класс,Школа-лицей №10,Карагандинская,Отменено,7,Ж,КИОСК,,Нет,По желанию,Школа
19,2025-04-29,12:39,Зачисление в 1 класс,Школа-лицей №2,Актюбинская,Отменено,7,М,Мобильное приложение,,Да,,Школа
20,2025-04-09,17:54,Запрос справки,Школа-лицей №9,Алматинская,Отменено,9,М,КИОСК,,Да,Не явился,Школа-лицей
21,2024-08-20,08:22,Запись в продлёнку,Школа-лицей №2,г. Алматы,Записан,11,М,Мобильное приложение,,Нет,,Школа
22,2024-11-30,23:20,Зачисление в 1 класс,Школа-лицей №1,г. Алматы,Записан,6,Ж,Веб,,Нет,,Школа-лицей
23,2024-10-04,11:08,Запись в продлёнку,Школа-лицей №4,Алматинская,Записан,15,Ж,Мобильное приложение,,Да,,Школа-лицей
24,2024-09-10,17:59,Перевод из другой школы,Школа-лицей №2,г. Астана,Обслужен,11,Ж,Через школу,2024-09-10,Да,,Школа-лицей
25,2024-10-27,10:48,Зачисление в 1 класс,Школа-лицей №2,г. Астана,Отменено,11,М,Мобильное приложение,,Нет,Системная ошибка,Гимназия
26,2024-07-25,03:27,Запись в продлёнку,Школа-лицей №3,Туркестанская,Записан,13,М,Веб,,Да,,Гимназия
27,2024-07-26,11:32,Зачисление в 1 класс,Школа-лицей №1,Актюбинская,Обслужен,6,М,Мобильное приложение,2024-07-26,Да,,Школа
28,2025-05-14,01:34,Запись в продлёнку,Школа-лицей №8,Туркестанская,Записан,12,М,Мобильное приложение,,Да,,Школа
29,2025-02-08,16:50,Запись в продлёнку,Школа-лицей №5,Туркестанская,Записан,17,Ж,Мобильное приложение,,Нет,,Школа-лицей
30,2025-04-28,23:11,Перевод из другой школы,Школа-лицей №1,Алматинская,Обслужен,6,Ж,Веб,2025-04-28,Да,,Школа
31,2025-03-29,01:36,Запись в продлёнку,Школа-лицей №9,Алматинская,Записан,14,М,Мобильное приложение,,Нет,,Гимназия
32,2025-01-13,13:42,Зачисление в 1 класс,Школа-лицей №4,Туркестанская,Записан,15,М,Веб,,Нет,,Школа-лицей
33,2025-06-12,12:33,Запрос справки,Школа-лицей №5,г. Алматы,Обслужен,11,М,КИОСК,2025-06-12,Да,,Школа-лицей
34,2024-07-19,01:03,Перевод из другой школы,Школа-лицей №5,Туркестанская,Отменено,7,М,Через школу,,Нет,По желанию,Гимназия
35,2024-10-10,22:14,Перевод из другой школы,Школа-лицей №9,Карагандинская,Записан,11,М,Мобильное приложение,,Да,,Школа-лицей
36,2025-02-14,11:41,Перевод из другой школы,Школа-лицей №8,Алматинская,Обслужен,15,М,КИОСК,2025-02-14,Да,,Гимназия
37,2025-01-29,08:36,Зачисление в 1 класс,Школа-лицей №3,Карагандинская,Записан,7,М,КИОСК,,Да,,Гимназия
38,2025-03-19,19:15,Перевод из другой школы,Школа-лицей №6,г. Алматы,Обслужен,10,Ж,КИОСК,2025-03-19,Да,,Школа
39,2024-07-06,18:56,Зачисление в 1 класс,Школа-лицей №7,Карагандинская,Записан,11,М,КИОСК,,Нет,,Гимназия
40,2024-09-15,17:13,Запись в продлёнку,Школа-лицей №9,Актюбинская,Отменено,6,М,Веб,,Нет,,Школа
41,2024-10-09,05:46,Запрос справки,Школа-лицей №10,Алматинская,Записан,8,М,КИОСК,,Да,,Школа
42,2025-05-17,01:10,Запрос справки,Школа-лицей №4,Актюбинская,Записан,7,Ж,Через школу,,Нет,,Школа
43,2025-05-21,09:42,Перевод из другой школы,Школа-лицей №3,Туркестанская,Записан,17,Ж,Через школу,,Нет,,Школа-лицей
44,2024-11-13,01:42,Перевод из другой школы,Школа-лицей №2,Туркестанская,Обслужен,13,М,Мобильное приложение,2024-11-13,Да,,Школа-лицей
45,2024-12-12,00:32,Запрос справки,Школа-лицей №5,г. Алматы,Записан,16,М,Через школу,,Да,,Школа-лицей
46,2025-05-08,22:52,Зачисление в 1 класс,Школа-лицей №5,Карагандинская,Обслужен,12,Ж,Веб,2025-05-08,Да,,Школа
47,2024-08-21,21:32,Запрос справки,Школа-лицей №3,Алматинская,Обслужен,10,М,Веб,2024-08-21,Да,,Гимназия
48,2024-11-03,07:48,Запись в продлёнку,Школа-лицей №6,Актюбинская,Обслужен,12,М,Через школу,2024-11-03,Да,,Гимназия
49,2025-03-06,18:28,Перевод из другой школы,Школа-лицей №5,г. Астана,Обслужен,6,М,КИОСК,2025-03-06,Да,,Школа-лицей
50,2025-03-18,16:03,Зачисление в 1 класс,Школа-лицей №6,Алматинская,Отменено,7,Ж,КИОСК,,Да,Не явился,Школа-лицей
51,2025-02-25,17:15,Запрос справки,Школа-лицей №9,г. Алматы,Записан,16,Ж,Мобильное приложение,,Да,,Школа-лицей
52,2025-02-10,11:18,Зачисление в 1 класс,Школа-лицей №5,Карагандинская,Записан,15,Ж,Через школу,,Да,,Школа-лицей
53,2024-08-24,02:50,Перевод из другой школы,Школа-лицей №9,Туркестанская,Обслужен,17,М,Веб,2024-08-24,Да,,Школа-лицей
54,2025-03-29,19:24,Запрос справки,Школа-лицей №2,г. Алматы,Обслужен,9,М,Мобильное приложение,2025-03-29,Да,,Школа
55,2024-08-21,12:57,Зачисление в 1 класс,Школа-лицей №4,Туркестанская,Обслужен,7,Ж,Через школу,2024-08-21,Да,,Гимназия
56,2024-11-13,14:08,Перевод из другой школы,Школа-лицей №7,Туркестанская,Отменено,8,М,Веб,,Да,Системная ошибка,Школа
57,2025-06-13,06:43,Запись в продлёнку,Школа-лицей №1,Алматинская,Записан,7,Ж,Мобильное приложение,,Да,,Гимназия
58,2025-03-13,01:27,Запрос справки,Школа-лицей №8,Алматинская,Обслужен,14,Ж,Через школу,2025-03-13,Да,,Школа
59,2024-09-12,04:18,Запись в продлёнку,Школа-лицей №8,Карагандинская,Обслужен,16,Ж,Через школу,2024-09-12,Да,,Гимназия
60,2024-10-22,12:53,Перевод из другой школы,Школа-лицей №5,Туркестанская,Записан,10,М,КИОСК,,Да,,Школа-лицей
61,2025-04-16,08:17,Зачисление в 1 класс,Школа-лицей №3,г. Алматы,Записан,17,М,Мобильное приложение,,Нет,,Школа-лицей
62,2024-09-15,20:32,Запись в продлёнку,Школа-лицей №6,Алматинская,Отменено,6,М,Через школу,,Да,,Гимназия
63,2025-04-27,15:04,Зачисление в 1 класс,Школа-лицей №10,Туркестанская,Отменено,11,Ж,Через школу,,Да,,Гимназия
64,2024-11-21,17:39,Перевод из другой школы,Школа-лицей №8,г. Алматы,Записан,13,М,Через школу,,Да,,Гимназия
65,2024-07-14,00:09,Запись в продлёнку,Школа-лицей №3,Туркестанская,Обслужен,15,М,Через школу,2024-07-14,Да,,Гимназия
66,2025-06-08,08:04,Зачисление в 1 класс,Школа-лицей №2,Актюбинская,Отменено,13,М,Веб,,Да,Отменено учреждением,Школа-лицей
67,2025-05-25,20:32,Перевод из другой школы,Школа-лицей №8,Карагандинская,Отменено,12,Ж,Через школу,,Да,По желанию,Школа-лицей
68,2024-10-19,20:40,Зачисление в 1 класс,Школа-лицей №9,г. Астана,Обслужен,11,М,Веб,2024-10-19,Да,,Гимназия
69,2025-02-28,11:02,Зачисление в 1 класс,Школа-лицей №1,г. Алматы,Записан,6,М,Мобильное приложение,,Нет,,Школа-лицей
70,2024-11-19,04:04,Зачисление в 1 класс,Школа-лицей №10,г. Алматы,Отменено,10,Ж,Мобильное приложение,,Нет,Системная ошибка,Школа-лицей
71,2024-12-14,02:13,Зачисление в 1 класс,Школа-лицей №10,г. Астана,Обслужен,15,Ж,Через школу,2024-12-14,Да,,Гимназия
72,2024-09-29,12:43,Перевод из другой школы,Школа-лицей №2,Алматинская,Обслужен,16,М,Веб,2024-09-29,Да,,Гимназия
73,2024-09-22,19:14,Запрос справки,Школа-лицей №10,г. Астана,Обслужен,15,М,КИОСК,2024-09-22,Да,,Гимназия
74,2025-01-23,08:28,Запись в продлёнку,Школа-лицей №6,г. Астана,Обслужен,11,М,Через школу,2025-01-23,Да,,Школа-лицей
75,2024-09-29,03:05,Зачисление в 1 класс,Школа-лицей №7,Карагандинская,Обслужен,13,М,Через школу,2024-09-29,Да,,Школа
76,2025-02-01,18:43,Запрос справки,Школа-лицей №10,Алматинская,Обслужен,13,Ж,КИОСК,2025-02-01,Да,,Школа-лицей
77,2025-06-02,18:56,Перевод из другой школы,Школа-лицей №2,Карагандинская,Обслужен,9,Ж,Через школу,2025-06-02,Да,,Школа-лицей
78,2024-11-21,11:17,Зачисление в 1 класс,Школа-лицей №8,Карагандинская,Записан,9,Ж,КИОСК,,Да,,Школа-лицей
79,2024-09-12,06:05,Запрос справки,Школа-лицей №9,г. Астана,Обслужен,9,М,Мобильное приложение,2024-09-12,Да,,Гимназия
80,2025-01-02,09:39,Запись в продлёнку,Школа-лицей №8,Алматинская,Обслужен,17,Ж,Через школу,2025-01-02,Да,,Школа-лицей
81,2024-07-24,01:37,Зачисление в 1 класс,Школа-лицей №2,Карагандинская,Записан,17,М,КИОСК,,Да,,Школа-лицей
82,2024-07-07,08:15,Запрос справки,Школа-лицей №7,Актюбинская,Обслужен,11,Ж,КИОСК,2024-07-07,Да,,Школа-лицей
83,2024-08-17,06:08,Запрос справки,Школа-лицей №4,г. Астана,Обслужен,11,М,Мобильное приложение,2024-08-17,Да,,Школа
84,2024-08-20,05:44,Перевод из другой школы,Школа-лицей №8,Карагандинская,Обслужен,14,Ж,Веб,2024-08-20,Да,,Школа
85,2025-03-10,20:13,Запрос справки,Школа-лицей №4,Карагандинская,Записан,6,М,КИОСК,,Нет,,Школа
86,2025-02-05,23:45,Запрос справки,Школа-лицей №3,Актюбинская,Обслужен,13,М,Веб,2025-02-05,Да,,Гимназия
87,2024-11-15,04:46,Запрос справки,Школа-лицей №8,Туркестанская,Отменено,8,М,КИОСК,,Да,По желанию,Школа
88,2025-02-05,10:37,Запись в продлёнку,Школа-лицей №8,г. Астана,Обслужен,16,М,Мобильное приложение,2025-02-05,Да,,Школа
89,2025-01-10,22:21,Запрос справки,Школа-лицей №2,г. Алматы,Записан,12,М,Через школу,,Да,,Школа-лицей
90,2025-01-19,08:41,Запрос справки,Школа-лицей №10,Туркестанская,Отменено,15,М,Веб,,Нет,Системная ошибка,Школа-лицей
91,2025-03-10,15:18,Зачисление в 1 класс,Школа-лицей №3,г. Алматы,Записан,7,М,Веб,,Да,,Школа-лицей
92,2024-08-02,00:04,Запись в продлёнку,Школа-лицей №5,г. Астана,Записан,17,Ж,Через школу,,Нет,,Гимназия
93,2025-05-28,11:16,Перевод из другой школы,Школа-лицей №5,Актюбинская,Обслужен,9,Ж,Веб,2025-05-28,Да,,Гимназия
94,2025-04-06,23:25,Перевод из другой школы,Школа-лицей №3,Карагандинская,Обслужен,7,М,Мобильное приложение,2025-04-06,Да,,Школа-лицей
95,2025-04-13,04:36,Запрос справки,Школа-лицей №8,г. Астана,Отменено,10,Ж,КИОСК,,Да,Отменено учреждением,Школа
96,2024-10-29,15:27,Зачисление в 1 класс,Школа-лицей №7,Актюбинская,Отменено,10,М,Веб,,Нет,,Гимназия
